property_id,property_name,address,jurisdiction,parcel_id,current_year_taxes,prior_year_delinquent,total_due,last_payment_date,next_due_date,status,source_url,checked_at,notes
LUX2-02,Kauai - Anini Big House,4200 Anini Vista Dr Unit D,Kauai County,4-5-3-009-004-0004,141736.72,14173.68,163705.92,,2026-02-20,parsed,https://kauairpt.ehawaii.gov/propertytax/,2026-04-14T10:32:06,"HI semiannual Aug 20 + Feb 20. status=Past Due, period=2025-2, interest=7795.52, penalty=14173.68"
LUX2-04,Kauai - Santana,4201 Anini Vista Dr Unit C,Kauai County,4-5-3-009-004-0003,91628.90,9162.90,105831.39,,2026-02-20,parsed,https://kauairpt.ehawaii.gov/propertytax/,2026-04-14T10:32:10,"HI semiannual Aug 20 + Feb 20. status=Past Due, period=2025-2, interest=5039.59, penalty=9162.90"
LUX2-05,Kauai - Silver Farms,2818 N Kamookoa Road Unit 1,Kauai County,4-5-2-022-025-0001,103289.04,10328.90,119298.84,,2026-02-20,parsed,https://kauairpt.ehawaii.gov/propertytax/,2026-04-14T10:32:14,"HI semiannual Aug 20 + Feb 20. status=Past Due, period=2025-2, interest=5680.90, penalty=10328.90"
