parcel_number,account_id,owner,situs_address,taxes_due,interest_due,penalty_due,total_due,assessed_value,tax_rate,status
APC-237,0512483,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #237,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-239,0512490,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #239,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-241,0512508,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #241,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-243,0512515,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #243,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-244,0512522,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #244,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-245,0512539,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #245,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-246,0512546,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #246,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-247,0512553,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #247,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-248,0512560,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #248,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-249,0512577,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #249,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-250,0512584,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #250,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-251,0512591,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #251,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-252,0512609,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #252,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-253,0512616,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #253,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-254,0512623,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #254,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-255,0512630,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #255,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-256,0512647,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #256,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-301,0512654,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #301,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-302,0512661,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #302,"1,872.87",114.64,46.82,"2,034.33","209,788",0.0056120000,OK
APC-303,0512678,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #303,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-304,0512685,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 S COOPER LN #304,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-305,0512692,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #305,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-306,0512700,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #306,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-307,0512717,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #307,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-308,0512724,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #308,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-309,0512731,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #309,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-310,0512748,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #310,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-311,0512755,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #311,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-312,0512762,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #312,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-313,0512779,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #313,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-314,0512786,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #314,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-316,0512793,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #316,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-318,0512801,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #318,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-320,0512818,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #320,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-322,0512825,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #322,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-326,0512849,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #326,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-328,0512856,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #328,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-330,0512863,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #330,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-332,0512870,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #332,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-334,0512887,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #334,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-335,0512933,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #335,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-337,0512894,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #337,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-339,0512902,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #339,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-341,0512919,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #341,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-343,0512926,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #343,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
